PRN;Time_UTC;Azimuth;Elevation;MP_C1C;MP_C1P;MP_C2C;MP_C2P;SNR_S1C;SNR_S1P;SNR_S2C;SNR_S2P
R01;2022-01-01 00:44:30;142.01;49.59;0.2293;-0.3996;0.8233;0.4852;46.1;44.9;43.1;42.6
R01;2022-01-01 00:45:00;141.79;49.84;-0.4865;-0.3000;0.6337;0.4796;46.4;45.0;43.0;42.3
R01;2022-01-01 00:45:30;141.56;50.09;-0.1236;-0.1120;0.5788;0.6196;46.4;45.5;44.0;43.0
R01;2022-01-01 00:46:00;141.34;50.34;0.3510;-0.2798;0.3001;0.6836;46.9;45.2;43.6;42.3
R01;2022-01-01 00:46:30;141.11;50.59;0.3997;-0.2056;-0.4966;0.5513;46.9;45.4;43.5;42.7
R01;2022-01-01 00:47:00;140.87;50.83;-0.0370;0.0391;0.4400;0.6040;46.9;45.8;43.8;43.3
R01;2022-01-01 00:47:30;140.64;51.08;0.1020;-0.0645;0.5471;0.4628;46.2;45.7;43.8;42.6
R01;2022-01-01 00:48:00;140.40;51.32;-0.4155;0.1258;0.5388;0.5215;47.1;45.6;43.8;43.2
R01;2022-01-01 00:48:30;140.15;51.57;0.0562;0.3446;-0.6567;0.3119;47.4;45.2;43.6;43.0
R01;2022-01-01 00:49:00;139.90;51.81;-0.3903;0.0912;0.2473;0.2370;46.6;45.5;43.5;42.7
R01;2022-01-01 00:49:30;139.65;52.05;0.1910;0.1198;-0.3650;0.1997;46.2;44.7;43.8;43.3
R01;2022-01-01 00:50:00;139.39;52.29;-0.8592;-0.1125;-0.6778;-0.0271;45.4;45.0;43.9;42.6
R01;2022-01-01 00:50:30;139.13;52.53;0.2964;-0.1397;-0.2182;-0.0549;46.2;44.3;43.7;42.5
R01;2022-01-01 00:51:00;138.87;52.77;-0.2103;-0.3485;-0.4767;-0.0379;45.6;44.6;43.6;42.7
R01;2022-01-01 00:51:30;138.60;53.01;-0.9410;-0.2119;-0.5263;-0.3584;46.1;44.7;43.2;43.0
R01;2022-01-01 00:52:00;138.33;53.25;0.2006;-0.0568;-0.2491;-0.4116;45.4;44.1;44.3;42.8
R01;2022-01-01 00:52:30;138.05;53.48;0.2122;-0.3141;-0.6609;-0.2261;45.7;44.1;43.9;43.3
R01;2022-01-01 00:53:00;137.77;53.72;-0.4926;0.0532;-0.1612;-0.3596;45.8;44.9;43.9;43.1
R01;2022-01-01 00:53:30;137.48;53.95;0.1982;0.0574;-0.4279;-0.4112;46.2;44.3;43.9;43.1
R01;2022-01-01 00:54:00;137.19;54.18;-0.4320;-0.2488;0.1975;-0.3165;45.9;44.6;44.1;43.2
R01;2022-01-01 00:54:30;136.89;54.41;-0.3075;-0.1970;-0.4524;-0.2735;45.4;44.3;44.6;43.3
R01;2022-01-01 00:55:00;136.59;54.64;-0.8431;-0.1770;-0.1101;-0.3853;46.1;44.4;44.3;43.6
R01;2022-01-01 00:55:30;136.29;54.87;0.1869;-0.3843;-0.6203;-0.3192;45.7;45.1;43.9;43.0
R01;2022-01-01 00:56:00;135.98;55.10;0.4221;-0.0748;0.0721;-0.2312;46.0;44.6;44.3;43.2
R01;2022-01-01 00:56:30;135.67;55.33;-0.4241;0.2160;-0.0606;-0.0802;46.4;45.5;43.9;43.5
R01;2022-01-01 00:57:00;135.35;55.55;-0.3834;0.3852;0.2437;-0.0696;43.0;42.1;44.3;43.1
R01;2022-01-01 00:57:30;135.02;55.77;0.4107;0.5188;-0.0715;-0.0987;44.9;42.5;44.1;44.2
R01;2022-01-01 00:58:00;134.69;56.00;0.0751;0.2366;-0.1328;-0.1328;46.3;44.9;44.0;43.9
R01;2022-01-01 00:58:30;134.36;56.22;-0.0506;0.0738;0.3895;-0.1858;46.7;45.4;44.6;43.5
R01;2022-01-01 00:59:00;134.02;56.43;0.6151;0.2579;0.3355;-0.1257;46.3;45.4;44.6;44.0
R01;2022-01-01 00:59:30;133.68;56.65;0.1171;0.1827;0.2280;0.0497;46.3;45.3;44.7;44.3
R01;2022-01-01 01:00:00;133.33;56.87;0.3953;-0.1051;-0.0401;0.2117;46.4;45.3;45.2;44.1
R01;2022-01-01 01:00:30;132.97;57.08;0.0558;0.1724;0.1602;0.1163;46.4;45.0;45.0;44.0
R01;2022-01-01 01:01:00;132.61;57.29;-0.0639;-0.0505;-0.2477;0.0609;46.6;45.1;45.0;44.0
R01;2022-01-01 01:01:30;132.24;57.51;-0.0428;-0.0657;-0.0829;0.1238;47.3;45.8;45.3;44.9
R01;2022-01-01 01:02:00;131.87;57.71;0.2704;0.0820;-0.0041;0.3014;47.0;45.3;44.4;44.0
R01;2022-01-01 01:02:30;131.50;57.92;0.1866;-0.0509;-0.2566;0.0153;47.2;45.3;45.0;44.6
R01;2022-01-01 01:03:00;131.11;58.13;0.6605;-0.2716;-0.0742;0.1733;47.1;46.6;45.2;44.9
R01;2022-01-01 01:03:30;130.72;58.33;0.2304;0.1206;-0.0409;0.2909;47.5;46.0;45.4;44.1
R01;2022-01-01 01:04:00;130.33;58.53;0.3047;-0.0824;0.5073;0.0989;48.1;46.2;45.3;44.7
R01;2022-01-01 01:04:30;129.93;58.73;0.6078;-0.1295;0.3611;0.2945;47.5;46.7;44.7;44.5
R01;2022-01-01 01:05:00;129.52;58.93;0.0147;0.0353;0.0877;0.0894;47.6;46.3;45.1;44.4
R01;2022-01-01 01:05:30;129.11;59.13;-0.6851;-0.2884;-0.0383;0.1693;47.9;46.6;45.7;44.7
R01;2022-01-01 01:06:00;128.69;59.32;-0.4344;-0.1308;-0.6412;0.1014;48.0;46.3;45.2;44.7
R01;2022-01-01 01:06:30;128.27;59.51;0.2870;0.0377;0.5058;0.1984;48.1;46.4;45.2;44.2
R01;2022-01-01 01:07:00;127.84;59.70;-0.3236;-0.2323;-0.3421;0.1498;47.9;46.5;45.4;44.1
R01;2022-01-01 01:07:30;127.40;59.89;0.1533;0.1369;-0.1056;-0.2689;48.4;46.6;45.0;43.2
R01;2022-01-01 01:08:00;126.96;60.07;-0.0738;0.0540;-0.1850;-0.1288;48.2;46.4;44.4;43.7
R01;2022-01-01 01:08:30;126.51;60.26;0.0112;-0.0701;-0.3569;-0.1240;48.7;46.8;44.3;43.6
R01;2022-01-01 01:09:00;126.05;60.44;-0.8607;-0.1739;-0.0985;-0.3156;48.8;46.5;43.9;42.8
R01;2022-01-01 01:09:30;125.59;60.62;-0.4334;-0.2666;-0.9583;-0.4118;48.0;46.8;44.2;42.8
R01;2022-01-01 01:10:00;125.12;60.79;0.0070;-0.1032;-0.6539;-0.4450;48.3;46.8;43.0;43.0
R01;2022-01-01 01:10:30;124.65;60.96;-0.2647;-0.1607;-0.2344;-0.4273;48.0;46.9;43.2;42.3
R01;2022-01-01 01:11:00;124.17;61.14;-0.2092;-0.2073;-0.5279;-0.4022;48.4;46.6;43.3;41.8
R01;2022-01-01 01:11:30;123.68;61.30;-0.3845;0.0873;-0.3369;-0.6432;48.7;47.1;43.0;41.9
R01;2022-01-01 01:12:00;123.19;61.47;-0.2017;-0.1241;0.1355;-0.6289;48.5;47.9;43.0;41.4
R01;2022-01-01 01:12:30;122.69;61.63;0.4151;-0.0164;0.3850;-0.4782;49.0;47.0;42.6;41.5
R01;2022-01-01 01:13:00;122.18;61.79;-0.4103;0.0480;-0.6367;-0.5910;48.5;47.5;42.3;41.3
R01;2022-01-01 01:13:30;121.67;61.95;0.3768;0.2036;0.0986;-0.5573;48.6;47.9;41.8;41.1
R01;2022-01-01 01:14:00;121.15;62.10;0.5789;0.2173;-1.1773;-0.7386;48.5;47.8;41.4;40.8
R01;2022-01-01 01:14:30;120.62;62.25;0.0033;0.1081;-1.5944;-0.5177;48.7;47.1;42.1;40.6
R01;2022-01-01 01:15:00;120.09;62.40;0.1577;0.1794;0.6429;-0.4474;48.7;47.7;41.6;40.5
R01;2022-01-01 01:15:30;119.55;62.55;-0.0294;0.3676;0.1461;-0.3078;49.3;47.2;41.7;41.0
R01;2022-01-01 01:16:00;119.01;62.69;-0.2220;0.0129;-0.4745;-0.2506;48.2;47.1;41.7;41.3
R01;2022-01-01 01:16:30;118.46;62.83;0.3520;-0.0362;-0.6469;-0.3124;48.2;47.2;41.6;40.7
R01;2022-01-01 01:17:00;117.90;62.97;0.6488;0.1600;0.0927;-0.0067;47.7;47.0;42.6;41.4
R01;2022-01-01 01:17:30;117.34;63.10;0.7727;0.3166;0.3233;0.1862;47.9;47.0;42.5;41.4
R01;2022-01-01 01:18:00;116.77;63.23;0.3465;-0.0214;-0.3528;-0.0699;47.7;46.2;42.4;41.6
R01;2022-01-01 01:18:30;116.19;63.35;0.2118;-0.1361;-0.1315;0.2110;47.0;46.8;42.4;41.3
R01;2022-01-01 01:19:00;115.61;63.48;-0.5927;0.0017;0.1585;0.4276;47.0;46.0;42.7;41.4
R01;2022-01-01 01:19:30;115.02;63.60;0.4570;-0.1859;0.1731;0.2606;46.3;45.3;42.7;42.2
R01;2022-01-01 01:20:00;114.43;63.71;0.3526;-0.1208;0.2819;0.4335;46.2;45.4;43.4;42.1
R01;2022-01-01 01:20:30;113.83;63.83;0.1611;-0.3440;0.2401;0.3297;46.2;45.6;43.4;43.0
R01;2022-01-01 01:21:00;113.23;63.93;-0.2594;-0.2935;0.3506;0.2311;46.0;45.5;43.4;42.4
R01;2022-01-01 01:21:30;112.62;64.04;0.1420;-0.2137;0.2714;0.3380;45.8;45.0;43.3;43.4
R01;2022-01-01 01:22:00;112.00;64.14;-0.7942;-0.1974;0.2043;0.2229;46.0;44.9;43.7;43.4
R01;2022-01-01 01:22:30;111.38;64.24;-0.1655;-0.0342;0.0404;0.1403;45.8;45.1;43.6;43.0
R01;2022-01-01 01:23:00;110.76;64.33;0.2388;-0.1361;-0.0010;-0.0843;46.0;44.9;44.5;43.0
R01;2022-01-01 01:23:30;110.13;64.42;-1.1709;0.2285;-0.3577;0.1470;46.3;44.5;43.3;42.9
R01;2022-01-01 01:24:00;109.49;64.51;-0.5399;0.0192;0.3406;0.0813;45.9;44.6;43.8;43.3
R01;2022-01-01 01:24:30;108.86;64.59;0.6475;0.2137;-0.0276;0.2591;45.3;44.3;44.3;43.4
R01;2022-01-01 01:25:00;108.21;64.67;-0.0176;-0.0719;0.5893;0.0151;45.7;44.6;44.3;43.1
R01;2022-01-01 01:25:30;107.56;64.75;-0.0684;-0.1754;0.4605;-0.1068;45.6;43.9;44.1;43.0
R01;2022-01-01 01:26:00;106.91;64.82;-0.2832;-0.0074;-0.5915;-0.0718;45.0;43.8;43.9;43.2
R01;2022-01-01 01:26:30;106.26;64.89;-0.2458;-0.0461;0.0396;-0.2059;45.3;44.6;44.5;43.5
R01;2022-01-01 01:27:00;105.60;64.95;-0.5298;-0.2051;-0.4099;-0.0132;45.3;44.5;44.9;43.5
R01;2022-01-01 01:27:30;104.94;65.01;-0.3458;0.0676;-0.0916;-0.1736;45.4;44.1;44.5;43.4
R01;2022-01-01 01:28:00;104.27;65.06;0.2284;-0.0182;-0.2144;-0.1551;45.6;44.1;44.7;43.8
R01;2022-01-01 01:28:30;103.60;65.11;0.2678;0.0604;-0.2590;-0.1363;45.8;44.4;44.5;43.6
R01;2022-01-01 01:29:00;102.93;65.16;-0.3185;-0.0926;0.0697;-0.1955;45.0;44.6;44.6;44.1
R01;2022-01-01 01:29:30;102.26;65.20;0.3488;-0.3721;-0.4911;-0.3294;45.5;45.2;44.7;43.7
R01;2022-01-01 01:30:00;101.59;65.24;-0.6225;-0.5599;-0.1446;-0.2269;45.0;44.7;44.4;43.9
R01;2022-01-01 01:30:30;100.91;65.27;-0.7039;-0.1925;0.6761;-0.4065;45.1;45.1;44.3;44.2
R01;2022-01-01 01:31:00;100.23;65.30;-0.2568;-0.5639;0.2022;-0.2664;46.0;44.6;44.9;43.8
R01;2022-01-01 01:31:30;99.55;65.33;0.3526;-0.1835;0.3276;-0.3357;46.0;44.9;44.4;43.8
R01;2022-01-01 01:32:00;98.87;65.35;-0.4898;-0.3283;0.1763;-0.2120;46.3;45.1;44.5;44.1
R01;2022-01-01 01:32:30;98.19;65.37;-0.3228;-0.2988;0.5238;-0.1905;46.0;44.8;44.7;44.0
R01;2022-01-01 01:33:00;97.51;65.38;0.0625;-0.2645;0.4589;-0.0612;46.6;45.8;45.4;44.7
R01;2022-01-01 01:33:30;96.82;65.39;-0.3476;-0.4253;-0.5017;0.0120;47.0;45.4;44.9;44.6
R01;2022-01-01 01:34:00;96.14;65.39;-0.5103;-0.4046;0.1800;-0.1001;46.6;45.5;45.2;44.1
R01;2022-01-01 01:34:30;95.46;65.39;-0.6624;-0.4610;-0.5932;0.0035;47.2;45.8;45.1;44.6
R01;2022-01-01 01:35:00;94.77;65.39;0.1136;-0.3950;0.1005;-0.0778;47.0;46.1;45.1;44.9
R01;2022-01-01 01:35:30;94.09;65.38;0.2673;-0.4561;-0.0589;-0.0062;47.2;46.3;45.1;44.3
R01;2022-01-01 01:36:00;93.41;65.36;-0.1074;-0.5106;0.2353;-0.2288;47.0;46.1;45.1;44.6
R01;2022-01-01 01:36:30;92.73;65.35;-0.5777;-0.5048;-0.5146;-0.1487;47.9;46.4;45.2;44.7
R01;2022-01-01 01:37:00;92.06;65.32;-0.7327;-0.4806;-0.0464;-0.2407;47.6;46.0;44.9;44.6
R01;2022-01-01 01:37:30;91.38;65.30;-0.2204;-0.4582;-0.0409;-0.3480;48.3;46.6;45.1;44.2
R01;2022-01-01 01:38:00;90.71;65.27;-0.4198;-0.3829;-0.1378;-0.5293;48.2;46.6;45.2;44.4
R01;2022-01-01 01:38:30;90.04;65.23;0.1493;-0.1705;0.4596;-0.4199;48.1;46.7;44.9;45.0
R01;2022-01-01 01:39:00;89.37;65.20;-0.5877;-0.4751;-0.2667;-0.5392;47.5;46.4;45.3;44.4
R01;2022-01-01 01:39:30;88.70;65.15;-0.3840;-0.4988;0.0764;-0.5161;48.4;46.6;44.3;44.1
R01;2022-01-01 01:40:00;88.04;65.11;0.2717;-0.4434;0.0328;-0.5323;48.4;46.6;45.4;44.8
R01;2022-01-01 01:40:30;87.38;65.06;0.5791;-0.3631;-0.0279;-0.6778;48.7;47.2;45.3;43.9
R01;2022-01-01 01:41:00;86.72;65.00;-0.2527;-0.1879;-0.5386;-0.6292;48.8;47.4;44.9;43.8
R01;2022-01-01 01:41:30;86.07;64.94;-0.4043;0.0376;0.0367;-0.5138;48.0;47.3;44.8;44.7
R01;2022-01-01 01:42:00;85.42;64.88;-0.0596;-0.1234;-0.7186;-0.3118;49.3;48.1;44.9;44.6
R01;2022-01-01 01:42:30;84.78;64.81;0.3361;0.1165;-0.2376;-0.2949;49.4;48.1;44.9;44.9
R01;2022-01-01 01:43:00;84.14;64.74;0.0705;0.1022;-0.0549;-0.2583;49.6;48.1;45.1;44.7
R01;2022-01-01 01:43:30;83.51;64.67;-0.4102;0.1160;-0.9680;-0.3053;49.8;48.3;45.2;44.5
R01;2022-01-01 01:44:00;82.88;64.59;-0.3321;0.2027;-0.1597;-0.4080;49.7;48.3;44.7;44.2
R01;2022-01-01 01:44:30;82.25;64.51;0.3227;0.3720;-0.3311;-0.2864;49.9;48.5;45.9;44.4
R01;2022-01-01 01:45:00;81.63;64.42;-0.2792;0.1553;-0.0191;-0.2912;49.6;48.3;45.2;44.8
R01;2022-01-01 01:45:30;81.02;64.33;0.3665;0.0554;-0.4075;-0.2000;49.2;47.9;45.0;44.6
R01;2022-01-01 01:46:00;80.41;64.24;-0.3562;0.0177;-0.0579;-0.0303;49.9;47.6;45.9;44.7
R01;2022-01-01 01:46:30;79.80;64.14;-0.3869;0.0079;-0.5067;0.0122;50.2;48.0;45.2;44.3
R01;2022-01-01 01:47:00;79.20;64.04;-0.3080;0.2648;0.1795;0.1300;50.0;48.5;45.9;44.9
R01;2022-01-01 01:47:30;78.61;63.94;0.0743;0.1352;-0.5415;0.2032;50.0;48.8;45.8;45.1
R01;2022-01-01 01:48:00;78.03;63.83;-0.2530;0.1432;0.3663;-0.1610;50.2;47.8;45.6;44.3
R01;2022-01-01 01:48:30;77.44;63.72;0.4800;0.2396;-0.7581;-0.1314;50.0;48.5;45.4;45.5
R01;2022-01-01 01:49:00;76.87;63.60;-0.2707;-0.0144;0.3520;0.0698;50.1;48.3;45.4;44.2
