PRN;Time_UTC;Azimuth;Elevation;MP_C1C;MP_C1P;MP_C2C;MP_C2P;SNR_S1C;SNR_S1P;SNR_S2C;SNR_S2P
R23;2022-01-01 11:33:30;318.54;10.43;nan;nan;nan;nan;39.2;38.3;nan;nan
R23;2022-01-01 11:34:00;318.37;10.26;nan;nan;nan;nan;41.5;40.4;nan;nan
R23;2022-01-01 11:34:30;318.19;10.09;nan;nan;nan;nan;42.1;40.6;nan;nan
R23;2022-01-01 11:35:00;318.02;9.92;nan;nan;nan;nan;41.1;39.5;nan;nan
R23;2022-01-01 11:35:30;317.85;9.74;nan;nan;nan;nan;39.7;39.2;nan;nan
R23;2022-01-01 11:36:00;317.68;9.57;nan;nan;nan;nan;39.2;38.8;nan;nan
R23;2022-01-01 11:36:30;317.51;9.39;nan;nan;nan;nan;40.3;38.4;nan;nan
R23;2022-01-01 11:37:00;317.35;9.22;nan;nan;nan;nan;40.2;38.8;nan;nan
R23;2022-01-01 11:37:30;317.18;9.04;nan;nan;nan;nan;41.4;39.7;nan;nan
R23;2022-01-01 11:38:00;317.01;8.86;nan;nan;nan;nan;41.6;40.1;nan;nan
R23;2022-01-01 11:38:30;316.85;8.68;nan;nan;nan;nan;41.6;39.9;nan;nan
R23;2022-01-01 11:39:00;316.68;8.51;nan;nan;nan;nan;41.1;39.9;nan;nan
R23;2022-01-01 11:39:30;316.52;8.33;nan;nan;nan;nan;40.2;39.0;nan;nan
R23;2022-01-01 11:40:00;316.36;8.15;nan;nan;nan;nan;40.1;39.4;nan;nan
R23;2022-01-01 11:40:30;316.20;7.97;nan;nan;nan;nan;38.9;38.5;nan;nan
R23;2022-01-01 11:41:00;316.04;7.79;nan;nan;nan;nan;40.2;38.6;nan;nan
R23;2022-01-01 11:41:30;315.88;7.60;nan;nan;nan;nan;38.9;37.6;nan;nan
R23;2022-01-01 11:42:00;315.72;7.42;nan;nan;nan;nan;38.9;37.5;nan;nan
R23;2022-01-01 11:42:30;315.56;7.24;nan;nan;nan;nan;38.9;38.1;nan;nan
R23;2022-01-01 11:43:00;315.40;7.06;nan;nan;nan;nan;39.2;37.3;nan;nan
R23;2022-01-01 11:43:30;315.25;6.87;nan;nan;nan;nan;40.2;38.3;nan;nan
R23;2022-01-01 11:44:00;315.09;6.69;nan;nan;nan;nan;39.9;38.5;nan;nan
R23;2022-01-01 11:44:30;314.94;6.50;nan;nan;nan;nan;38.9;38.7;nan;nan
R23;2022-01-01 11:45:00;314.79;6.32;nan;nan;nan;nan;40.3;38.3;nan;nan
R23;2022-01-01 11:45:30;314.63;6.13;nan;nan;nan;nan;38.1;37.6;nan;nan
R23;2022-01-01 11:46:00;314.48;5.95;nan;nan;nan;nan;39.2;37.6;nan;nan
R23;2022-01-01 11:46:30;314.33;5.76;nan;nan;nan;nan;39.7;38.1;nan;nan
R23;2022-01-01 11:47:00;314.18;5.57;nan;nan;nan;nan;39.7;37.5;nan;nan
R23;2022-01-01 11:47:30;314.03;5.38;nan;nan;nan;nan;38.9;37.5;nan;nan
R23;2022-01-01 11:48:00;313.88;5.20;nan;nan;nan;nan;39.5;38.1;nan;nan
R23;2022-01-01 11:48:30;313.73;5.01;nan;nan;nan;nan;38.1;37.4;nan;nan
R23;2022-01-01 11:49:00;313.59;4.82;nan;nan;nan;nan;40.5;39.5;nan;nan
R23;2022-01-01 11:49:30;313.44;4.63;nan;nan;nan;nan;40.5;39.9;nan;nan
R23;2022-01-01 11:50:00;313.29;4.44;nan;nan;nan;nan;41.7;40.1;nan;nan
R23;2022-01-01 11:50:30;313.15;4.25;nan;nan;nan;nan;41.8;39.9;nan;nan
R23;2022-01-01 11:51:00;313.01;4.06;nan;nan;nan;nan;41.0;38.8;nan;nan
R23;2022-01-01 11:51:30;312.86;3.87;nan;nan;nan;nan;39.2;39.2;nan;nan
R23;2022-01-01 11:52:00;312.72;3.67;nan;nan;nan;nan;40.9;39.4;nan;nan
R23;2022-01-01 11:52:30;312.58;3.48;nan;nan;nan;nan;40.8;39.6;nan;nan
R23;2022-01-01 11:53:00;312.44;3.29;nan;nan;nan;nan;40.0;38.1;nan;nan
R23;2022-01-01 11:53:30;312.30;3.10;nan;nan;nan;nan;39.5;37.9;nan;nan
R23;2022-01-01 11:54:00;312.16;2.90;nan;nan;nan;nan;39.2;37.7;nan;nan
R23;2022-01-01 11:54:30;312.02;2.71;nan;nan;nan;nan;38.4;37.2;nan;nan
R23;2022-01-01 11:55:00;311.88;2.51;nan;nan;nan;nan;38.6;37.0;nan;nan
R23;2022-01-01 11:55:30;311.74;2.32;nan;nan;nan;nan;37.5;36.5;nan;nan
R23;2022-01-01 11:56:00;311.61;2.13;nan;nan;nan;nan;38.4;36.4;nan;nan
R23;2022-01-01 11:56:30;311.47;1.93;nan;nan;nan;nan;36.5;36.5;nan;nan
R23;2022-01-01 11:57:00;311.34;1.73;nan;nan;nan;nan;37.4;35.8;nan;nan
R23;2022-01-01 11:57:30;311.20;1.54;nan;nan;nan;nan;35.3;34.1;nan;nan
R23;2022-01-01 11:58:00;311.07;1.34;nan;nan;nan;nan;34.4;33.2;nan;nan
R23;2022-01-01 11:58:30;310.94;1.15;nan;nan;nan;nan;25.9;28.3;nan;nan
R23;2022-01-01 11:59:00;310.80;0.95;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 11:59:30;310.67;0.75;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 12:00:00;310.54;0.55;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 12:00:30;310.41;0.36;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 12:01:00;310.28;0.16;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:19:00;203.90;0.23;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:19:30;203.96;0.46;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:20:00;204.03;0.70;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:20:30;204.09;0.93;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:21:00;204.16;1.17;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:21:30;204.22;1.40;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:22:00;204.28;1.64;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:22:30;204.35;1.87;nan;nan;nan;nan;nan;nan;nan;nan
R23;2022-01-01 18:23:00;204.42;2.11;nan;nan;nan;nan;36.7;36.3;nan;nan
R23;2022-01-01 18:23:30;204.48;2.35;nan;nan;nan;nan;36.7;37.1;nan;nan
R23;2022-01-01 18:24:00;204.55;2.59;nan;nan;nan;nan;39.6;37.1;nan;nan
R23;2022-01-01 18:24:30;204.62;2.82;nan;nan;nan;nan;38.3;37.3;nan;nan
R23;2022-01-01 18:25:00;204.68;3.06;nan;nan;nan;nan;38.9;37.5;nan;nan
R23;2022-01-01 18:25:30;204.75;3.30;nan;nan;nan;nan;37.6;36.8;nan;nan
R23;2022-01-01 18:26:00;204.82;3.54;nan;nan;nan;nan;37.5;35.7;nan;nan
R23;2022-01-01 18:26:30;204.89;3.77;nan;nan;nan;nan;36.4;34.6;nan;nan
R23;2022-01-01 18:27:00;204.96;4.01;nan;nan;nan;nan;34.8;33.8;nan;nan
R23;2022-01-01 18:27:30;205.03;4.25;nan;nan;nan;nan;35.7;35.4;nan;nan
R23;2022-01-01 18:28:00;205.09;4.49;nan;nan;nan;nan;37.9;36.3;nan;nan
R23;2022-01-01 18:28:30;205.16;4.73;nan;nan;nan;nan;39.2;36.9;nan;nan
R23;2022-01-01 18:29:00;205.24;4.97;nan;nan;nan;nan;38.5;37.8;nan;nan
R23;2022-01-01 18:29:30;205.31;5.21;nan;nan;nan;nan;38.4;38.2;nan;nan
R23;2022-01-01 18:30:00;205.38;5.45;nan;nan;nan;nan;40.1;39.1;nan;nan
R23;2022-01-01 18:30:30;205.45;5.69;nan;nan;nan;nan;39.9;38.7;nan;nan
R23;2022-01-01 18:31:00;205.52;5.93;nan;nan;nan;nan;41.2;39.5;nan;nan
R23;2022-01-01 18:31:30;205.59;6.17;nan;nan;nan;nan;41.8;39.5;nan;nan
R23;2022-01-01 18:32:00;205.66;6.41;nan;nan;nan;nan;41.1;40.2;nan;nan
R23;2022-01-01 18:32:30;205.74;6.65;nan;nan;nan;nan;42.2;40.3;nan;nan
R23;2022-01-01 18:33:00;205.81;6.89;nan;nan;nan;nan;41.8;40.5;nan;nan
R23;2022-01-01 18:33:30;205.88;7.13;nan;nan;nan;nan;42.6;40.6;nan;nan
R23;2022-01-01 18:34:00;205.96;7.37;nan;nan;nan;nan;42.0;41.1;nan;nan
R23;2022-01-01 18:34:30;206.03;7.62;nan;nan;nan;nan;41.3;40.8;nan;nan
R23;2022-01-01 18:35:00;206.11;7.86;nan;nan;nan;nan;43.0;40.9;nan;nan
R23;2022-01-01 18:35:30;206.18;8.10;nan;nan;nan;nan;42.8;41.6;nan;nan
R23;2022-01-01 18:36:00;206.26;8.34;nan;nan;nan;nan;43.7;42.6;nan;nan
R23;2022-01-01 18:36:30;206.33;8.59;nan;nan;nan;nan;44.2;42.1;nan;nan
R23;2022-01-01 18:37:00;206.41;8.83;nan;nan;nan;nan;43.6;42.6;nan;nan
R23;2022-01-01 18:37:30;206.48;9.07;nan;nan;nan;nan;44.0;42.5;nan;nan
R23;2022-01-01 18:38:00;206.56;9.32;nan;nan;nan;nan;43.8;41.8;nan;nan
R23;2022-01-01 18:38:30;206.64;9.56;nan;nan;nan;nan;42.7;41.6;nan;nan
R23;2022-01-01 18:39:00;206.72;9.80;nan;nan;nan;nan;44.1;41.9;nan;nan
R23;2022-01-01 18:39:30;206.79;10.05;nan;nan;nan;nan;43.3;41.6;nan;nan
R23;2022-01-01 18:40:00;206.87;10.29;nan;nan;nan;nan;42.7;41.4;nan;nan
R23;2022-01-01 18:40:30;206.95;10.54;nan;nan;nan;nan;42.7;41.3;nan;nan
R23;2022-01-01 18:41:00;207.03;10.78;nan;nan;nan;nan;44.7;42.9;nan;nan
R23;2022-01-01 18:41:30;207.11;11.03;nan;nan;nan;nan;44.9;43.3;nan;nan
R23;2022-01-01 18:42:00;207.19;11.27;nan;nan;nan;nan;45.0;43.3;nan;nan
R23;2022-01-01 18:42:30;207.27;11.52;nan;nan;nan;nan;44.9;42.7;nan;nan
R23;2022-01-01 18:43:00;207.35;11.76;nan;nan;nan;nan;43.5;42.4;nan;nan
R23;2022-01-01 18:43:30;207.43;12.01;nan;nan;nan;nan;43.0;42.7;nan;nan
R23;2022-01-01 18:44:00;207.51;12.25;nan;nan;nan;nan;44.7;42.8;nan;nan
R23;2022-01-01 18:44:30;207.59;12.50;nan;nan;nan;nan;44.2;42.6;nan;nan
R23;2022-01-01 18:45:00;207.67;12.75;nan;nan;nan;nan;43.5;42.0;nan;nan
R23;2022-01-01 18:45:30;207.75;12.99;nan;nan;nan;nan;43.2;41.5;nan;nan
R23;2022-01-01 18:46:00;207.84;13.24;nan;nan;nan;nan;42.9;40.6;nan;nan
R23;2022-01-01 18:46:30;207.92;13.49;nan;nan;nan;nan;42.9;41.8;nan;nan
R23;2022-01-01 18:47:00;208.00;13.74;nan;nan;nan;nan;42.8;42.4;nan;nan
R23;2022-01-01 18:47:30;208.09;13.99;nan;nan;nan;nan;44.3;42.6;nan;nan
R23;2022-01-01 18:48:00;208.17;14.23;nan;nan;nan;nan;43.3;42.7;nan;nan
R23;2022-01-01 18:48:30;208.25;14.48;nan;nan;nan;nan;43.2;42.1;nan;nan
R23;2022-01-01 18:49:00;208.34;14.73;nan;nan;nan;nan;43.5;41.8;nan;nan
R23;2022-01-01 18:49:30;208.42;14.98;nan;nan;nan;nan;43.2;42.0;nan;nan
R23;2022-01-01 18:50:00;208.51;15.23;nan;nan;nan;nan;43.7;42.7;nan;nan
R23;2022-01-01 18:50:30;208.59;15.48;nan;nan;nan;nan;44.3;43.2;nan;nan
R23;2022-01-01 18:51:00;208.68;15.73;nan;nan;nan;nan;44.6;43.6;nan;nan
R23;2022-01-01 18:51:30;208.76;15.98;nan;nan;nan;nan;44.5;42.7;nan;nan
R23;2022-01-01 18:52:00;208.85;16.23;nan;nan;nan;nan;44.6;43.2;nan;nan
R23;2022-01-01 18:52:30;208.94;16.48;nan;nan;nan;nan;45.5;43.6;nan;nan
R23;2022-01-01 18:53:00;209.02;16.73;nan;nan;nan;nan;46.3;44.3;nan;nan
R23;2022-01-01 18:53:30;209.11;16.98;nan;nan;nan;nan;45.9;44.0;nan;nan
R23;2022-01-01 18:54:00;209.20;17.23;nan;nan;nan;nan;44.4;43.3;nan;nan
R23;2022-01-01 18:54:30;209.29;17.48;nan;nan;nan;nan;44.0;42.6;nan;nan
R23;2022-01-01 18:55:00;209.38;17.73;nan;nan;nan;nan;44.4;43.5;nan;nan
R23;2022-01-01 18:55:30;209.46;17.98;nan;nan;nan;nan;43.5;43.0;nan;nan
R23;2022-01-01 18:56:00;209.55;18.23;nan;nan;nan;nan;43.8;43.0;nan;nan
R23;2022-01-01 18:56:30;209.64;18.49;nan;nan;nan;nan;43.0;42.1;nan;nan
R23;2022-01-01 18:57:00;209.73;18.74;nan;nan;nan;nan;44.5;43.3;nan;nan
R23;2022-01-01 18:57:30;209.82;18.99;nan;nan;nan;nan;45.5;44.6;nan;nan
R23;2022-01-01 18:58:00;209.91;19.24;nan;nan;nan;nan;45.0;43.9;nan;nan
R23;2022-01-01 18:58:30;210.00;19.50;nan;nan;nan;nan;44.8;44.0;nan;nan
R23;2022-01-01 18:59:00;210.09;19.75;nan;nan;nan;nan;45.0;43.9;nan;nan
R23;2022-01-01 18:59:30;210.19;20.00;nan;nan;nan;nan;44.9;44.6;nan;nan
R23;2022-01-01 19:00:00;210.28;20.26;nan;nan;nan;nan;45.2;44.2;nan;nan
R23;2022-01-01 19:00:30;210.37;20.51;nan;nan;nan;nan;43.7;43.6;nan;nan
R23;2022-01-01 19:01:00;210.46;20.77;nan;nan;nan;nan;44.7;43.1;nan;nan
R23;2022-01-01 19:01:30;210.56;21.02;nan;nan;nan;nan;46.6;45.2;nan;nan
R23;2022-01-01 19:02:00;210.65;21.27;nan;nan;nan;nan;47.3;45.6;nan;nan
R23;2022-01-01 19:02:30;210.74;21.53;nan;nan;nan;nan;47.3;45.6;nan;nan
R23;2022-01-01 19:03:00;210.84;21.78;nan;nan;nan;nan;46.6;45.3;nan;nan
R23;2022-01-01 19:03:30;210.93;22.04;nan;nan;nan;nan;47.8;46.3;nan;nan
R23;2022-01-01 19:04:00;211.02;22.29;nan;nan;nan;nan;47.3;45.8;nan;nan
R23;2022-01-01 19:04:30;211.12;22.55;nan;nan;nan;nan;46.3;45.2;nan;nan
R23;2022-01-01 19:05:00;211.21;22.81;nan;nan;nan;nan;46.3;45.1;nan;nan
R23;2022-01-01 19:05:30;211.31;23.06;nan;nan;nan;nan;46.9;45.3;nan;nan
R23;2022-01-01 19:06:00;211.41;23.32;nan;nan;nan;nan;46.0;45.0;nan;nan
R23;2022-01-01 19:06:30;211.50;23.58;nan;nan;nan;nan;45.8;45.2;nan;nan
R23;2022-01-01 19:07:00;211.60;23.83;nan;nan;nan;nan;46.5;45.2;nan;nan
R23;2022-01-01 19:07:30;211.70;24.09;nan;nan;nan;nan;47.0;45.1;nan;nan
R23;2022-01-01 19:08:00;211.79;24.35;nan;nan;nan;nan;46.0;44.5;nan;nan
R23;2022-01-01 19:08:30;211.89;24.60;nan;nan;nan;nan;45.1;44.7;nan;nan
R23;2022-01-01 19:09:00;211.99;24.86;nan;nan;nan;nan;45.8;44.6;nan;nan
R23;2022-01-01 19:09:30;212.09;25.12;nan;nan;nan;nan;44.9;44.2;nan;nan
R23;2022-01-01 19:10:00;212.18;25.38;nan;nan;nan;nan;43.6;42.9;nan;nan
R23;2022-01-01 19:10:30;212.28;25.64;nan;nan;nan;nan;44.3;42.8;nan;nan
R23;2022-01-01 19:11:00;212.38;25.89;nan;nan;nan;nan;44.6;43.4;nan;nan
R23;2022-01-01 19:11:30;212.48;26.15;nan;nan;nan;nan;43.9;42.7;nan;nan
R23;2022-01-01 19:12:00;212.58;26.41;nan;nan;nan;nan;44.9;43.5;nan;nan
R23;2022-01-01 19:12:30;212.68;26.67;nan;nan;nan;nan;45.9;44.6;nan;nan
R23;2022-01-01 19:13:00;212.78;26.93;nan;nan;nan;nan;44.3;43.4;nan;nan
R23;2022-01-01 19:13:30;212.88;27.19;nan;nan;nan;nan;45.4;44.2;nan;nan
R23;2022-01-01 19:14:00;212.99;27.45;nan;nan;nan;nan;46.2;44.3;nan;nan
R23;2022-01-01 19:14:30;213.09;27.71;nan;nan;nan;nan;44.7;43.5;nan;nan
R23;2022-01-01 19:15:00;213.19;27.97;nan;nan;nan;nan;47.6;45.4;nan;nan
R23;2022-01-01 19:15:30;213.29;28.23;nan;nan;nan;nan;46.7;45.3;nan;nan
R23;2022-01-01 19:16:00;213.40;28.49;nan;nan;nan;nan;46.6;44.7;nan;nan
R23;2022-01-01 19:16:30;213.50;28.75;nan;nan;nan;nan;47.5;46.0;nan;nan
R23;2022-01-01 19:17:00;213.60;29.02;nan;nan;nan;nan;46.7;45.3;nan;nan
R23;2022-01-01 19:17:30;213.71;29.28;nan;nan;nan;nan;46.8;45.0;nan;nan
R23;2022-01-01 19:18:00;213.81;29.54;nan;nan;nan;nan;47.8;46.7;nan;nan
R23;2022-01-01 19:18:30;213.91;29.80;nan;nan;nan;nan;46.3;45.2;nan;nan
R23;2022-01-01 19:19:00;214.02;30.06;nan;nan;nan;nan;46.7;45.4;nan;nan
R23;2022-01-01 19:19:30;214.13;30.32;nan;nan;nan;nan;47.6;45.8;nan;nan
R23;2022-01-01 19:20:00;214.23;30.59;nan;nan;nan;nan;46.2;45.3;nan;nan
R23;2022-01-01 19:20:30;214.34;30.85;nan;nan;nan;nan;47.3;45.9;nan;nan
R23;2022-01-01 19:21:00;214.44;31.11;nan;nan;nan;nan;47.0;45.0;nan;nan
R23;2022-01-01 19:21:30;214.55;31.38;nan;nan;nan;nan;46.0;44.2;nan;nan
R23;2022-01-01 19:22:00;214.66;31.64;nan;nan;nan;nan;47.2;45.4;nan;nan
R23;2022-01-01 19:22:30;214.76;31.90;nan;nan;nan;nan;46.0;44.5;nan;nan
R23;2022-01-01 19:23:00;214.87;32.17;nan;nan;nan;nan;45.7;44.7;nan;nan
R23;2022-01-01 19:23:30;214.98;32.43;nan;nan;nan;nan;44.9;44.3;nan;nan
R23;2022-01-01 19:24:00;215.09;32.70;nan;nan;nan;nan;43.8;43.4;nan;nan
R23;2022-01-01 19:24:30;215.20;32.96;nan;nan;nan;nan;45.0;44.9;nan;nan
R23;2022-01-01 19:25:00;215.31;33.22;nan;nan;nan;nan;44.6;43.3;nan;nan
R23;2022-01-01 19:25:30;215.42;33.49;nan;nan;nan;nan;46.0;45.1;nan;nan
R23;2022-01-01 19:26:00;215.53;33.75;nan;nan;nan;nan;45.6;44.0;nan;nan
R23;2022-01-01 19:26:30;215.64;34.02;nan;nan;nan;nan;46.7;45.3;nan;nan
R23;2022-01-01 19:27:00;215.75;34.29;nan;nan;nan;nan;45.9;45.8;nan;nan
R23;2022-01-01 19:27:30;215.86;34.55;nan;nan;nan;nan;45.8;45.0;nan;nan
R23;2022-01-01 19:28:00;215.97;34.82;nan;nan;nan;nan;47.5;46.5;nan;nan
R23;2022-01-01 19:28:30;216.09;35.08;nan;nan;nan;nan;45.5;45.0;nan;nan
R23;2022-01-01 19:29:00;216.20;35.35;nan;nan;nan;nan;47.9;46.5;nan;nan
R23;2022-01-01 19:29:30;216.31;35.62;nan;nan;nan;nan;48.1;46.7;nan;nan
R23;2022-01-01 19:30:00;216.42;35.88;nan;nan;nan;nan;48.8;47.1;nan;nan
R23;2022-01-01 19:30:30;216.54;36.15;nan;nan;nan;nan;49.4;47.7;nan;nan
R23;2022-01-01 19:31:00;216.65;36.42;nan;nan;nan;nan;48.7;47.2;nan;nan
R23;2022-01-01 19:31:30;216.77;36.68;nan;nan;nan;nan;49.8;48.3;nan;nan
R23;2022-01-01 19:32:00;216.88;36.95;nan;nan;nan;nan;49.5;47.3;nan;nan
R23;2022-01-01 19:32:30;217.00;37.22;nan;nan;nan;nan;48.8;47.9;nan;nan
R23;2022-01-01 19:33:00;217.11;37.49;nan;nan;nan;nan;49.1;48.2;nan;nan
R23;2022-01-01 19:33:30;217.23;37.76;nan;nan;nan;nan;49.8;48.4;nan;nan
R23;2022-01-01 19:34:00;217.35;38.02;nan;nan;nan;nan;48.9;47.6;nan;nan
R23;2022-01-01 19:34:30;217.46;38.29;nan;nan;nan;nan;48.2;47.2;nan;nan
R23;2022-01-01 19:35:00;217.58;38.56;nan;nan;nan;nan;47.8;47.0;nan;nan
R23;2022-01-01 19:35:30;217.70;38.83;nan;nan;nan;nan;47.6;46.4;nan;nan
R23;2022-01-01 19:36:00;217.82;39.10;nan;nan;nan;nan;48.1;47.1;nan;nan
R23;2022-01-01 19:36:30;217.93;39.37;nan;nan;nan;nan;48.9;47.0;nan;nan
R23;2022-01-01 19:37:00;218.05;39.64;nan;nan;nan;nan;48.0;47.4;nan;nan
R23;2022-01-01 19:37:30;218.17;39.91;nan;nan;nan;nan;48.8;47.0;nan;nan
R23;2022-01-01 19:38:00;218.29;40.18;nan;nan;nan;nan;48.6;47.0;nan;nan
R23;2022-01-01 19:38:30;218.41;40.45;nan;nan;nan;nan;47.4;46.8;nan;nan
R23;2022-01-01 19:39:00;218.54;40.72;nan;nan;nan;nan;49.2;47.1;nan;nan
R23;2022-01-01 19:39:30;218.66;40.99;nan;nan;nan;nan;48.2;47.0;nan;nan
R23;2022-01-01 19:40:00;218.78;41.26;nan;nan;nan;nan;48.4;47.6;nan;nan
R23;2022-01-01 19:40:30;218.90;41.53;nan;nan;nan;nan;48.6;47.0;nan;nan
R23;2022-01-01 19:41:00;219.02;41.80;nan;nan;nan;nan;49.5;47.4;nan;nan
R23;2022-01-01 19:41:30;219.15;42.07;nan;nan;nan;nan;48.8;47.3;nan;nan
R23;2022-01-01 19:42:00;219.27;42.34;nan;nan;nan;nan;49.1;47.5;nan;nan
R23;2022-01-01 19:42:30;219.39;42.62;nan;nan;nan;nan;49.3;47.7;nan;nan
R23;2022-01-01 19:43:00;219.52;42.89;nan;nan;nan;nan;49.8;47.2;nan;nan
R23;2022-01-01 19:43:30;219.64;43.16;nan;nan;nan;nan;49.3;48.8;nan;nan
R23;2022-01-01 19:44:00;219.77;43.43;nan;nan;nan;nan;50.3;48.6;nan;nan
R23;2022-01-01 19:44:30;219.90;43.70;nan;nan;nan;nan;50.1;48.6;nan;nan
R23;2022-01-01 19:45:00;220.02;43.98;nan;nan;nan;nan;49.6;48.7;nan;nan
R23;2022-01-01 19:45:30;220.15;44.25;nan;nan;nan;nan;51.0;49.5;nan;nan
R23;2022-01-01 19:46:00;220.28;44.52;nan;nan;nan;nan;50.3;48.4;nan;nan
R23;2022-01-01 19:46:30;220.41;44.79;nan;nan;nan;nan;50.8;48.8;nan;nan
R23;2022-01-01 19:47:00;220.54;45.07;nan;nan;nan;nan;50.0;49.0;nan;nan
R23;2022-01-01 19:47:30;220.66;45.34;nan;nan;nan;nan;49.9;48.9;nan;nan
R23;2022-01-01 19:48:00;220.79;45.61;nan;nan;nan;nan;49.3;48.5;nan;nan
R23;2022-01-01 19:48:30;220.92;45.89;nan;nan;nan;nan;50.0;48.8;nan;nan
R23;2022-01-01 19:49:00;221.06;46.16;nan;nan;nan;nan;49.9;48.7;nan;nan
R23;2022-01-01 19:49:30;221.19;46.44;nan;nan;nan;nan;49.0;47.9;nan;nan
R23;2022-01-01 19:50:00;221.32;46.71;nan;nan;nan;nan;50.1;48.5;nan;nan
R23;2022-01-01 19:50:30;221.45;46.98;nan;nan;nan;nan;49.9;48.2;nan;nan
R23;2022-01-01 19:51:00;221.58;47.26;nan;nan;nan;nan;49.4;48.5;nan;nan
R23;2022-01-01 19:51:30;221.72;47.53;nan;nan;nan;nan;49.4;48.1;nan;nan
R23;2022-01-01 19:52:00;221.85;47.81;nan;nan;nan;nan;49.0;47.9;nan;nan
R23;2022-01-01 19:52:30;221.99;48.08;nan;nan;nan;nan;48.9;48.1;nan;nan
R23;2022-01-01 19:53:00;222.12;48.36;nan;nan;nan;nan;49.1;48.0;nan;nan
R23;2022-01-01 19:53:30;222.26;48.63;nan;nan;nan;nan;48.9;48.1;nan;nan
R23;2022-01-01 19:54:00;222.40;48.91;nan;nan;nan;nan;48.5;47.5;nan;nan
R23;2022-01-01 19:54:30;222.53;49.18;nan;nan;nan;nan;48.0;47.3;nan;nan
R23;2022-01-01 19:55:00;222.67;49.46;nan;nan;nan;nan;48.7;47.5;nan;nan
R23;2022-01-01 19:55:30;222.81;49.74;nan;nan;nan;nan;48.5;47.1;nan;nan
R23;2022-01-01 19:56:00;222.95;50.01;nan;nan;nan;nan;47.9;47.3;nan;nan
R23;2022-01-01 19:56:30;223.09;50.29;nan;nan;nan;nan;48.3;46.6;nan;nan
R23;2022-01-01 19:57:00;223.23;50.56;nan;nan;nan;nan;47.9;46.7;nan;nan
R23;2022-01-01 19:57:30;223.37;50.84;nan;nan;nan;nan;47.3;46.0;nan;nan
R23;2022-01-01 19:58:00;223.51;51.12;nan;nan;nan;nan;47.2;46.6;nan;nan
R23;2022-01-01 19:58:30;223.66;51.39;nan;nan;nan;nan;47.0;46.3;nan;nan
R23;2022-01-01 19:59:00;223.80;51.67;nan;nan;nan;nan;47.0;46.4;nan;nan
R23;2022-01-01 19:59:30;223.94;51.95;nan;nan;nan;nan;48.3;47.4;nan;nan
R23;2022-01-01 20:00:00;224.09;52.22;nan;nan;nan;nan;48.3;47.7;nan;nan
R23;2022-01-01 20:00:30;224.23;52.50;nan;nan;nan;nan;48.4;47.2;nan;nan
R23;2022-01-01 20:01:00;224.38;52.78;nan;nan;nan;nan;48.7;47.5;nan;nan
R23;2022-01-01 20:01:30;224.53;53.06;nan;nan;nan;nan;49.4;47.7;nan;nan
R23;2022-01-01 20:02:00;224.68;53.33;nan;nan;nan;nan;49.3;48.0;nan;nan
R23;2022-01-01 20:02:30;224.83;53.61;nan;nan;nan;nan;48.6;47.6;nan;nan
R23;2022-01-01 20:03:00;224.98;53.89;nan;nan;nan;nan;49.4;47.9;nan;nan
R23;2022-01-01 20:03:30;225.13;54.17;nan;nan;nan;nan;49.3;47.5;nan;nan
R23;2022-01-01 20:04:00;225.28;54.45;nan;nan;nan;nan;48.8;47.2;nan;nan
R23;2022-01-01 20:04:30;225.43;54.72;nan;nan;nan;nan;48.8;48.1;nan;nan
R23;2022-01-01 20:05:00;225.58;55.00;nan;nan;nan;nan;49.2;47.6;nan;nan
R23;2022-01-01 20:05:30;225.74;55.28;nan;nan;nan;nan;48.5;47.7;nan;nan
R23;2022-01-01 20:06:00;225.89;55.56;nan;nan;nan;nan;48.6;47.9;nan;nan
R23;2022-01-01 20:06:30;226.05;55.84;nan;nan;nan;nan;49.2;47.8;nan;nan
R23;2022-01-01 20:07:00;226.20;56.12;nan;nan;nan;nan;49.3;48.2;nan;nan
R23;2022-01-01 20:07:30;226.36;56.40;nan;nan;nan;nan;49.5;47.6;nan;nan
R23;2022-01-01 20:08:00;226.52;56.67;nan;nan;nan;nan;49.8;48.4;nan;nan
R23;2022-01-01 20:08:30;226.68;56.95;nan;nan;nan;nan;49.9;48.4;nan;nan
R23;2022-01-01 20:09:00;226.84;57.23;nan;nan;nan;nan;50.4;48.5;nan;nan
R23;2022-01-01 20:09:30;227.00;57.51;nan;nan;nan;nan;50.5;48.8;nan;nan
